run_id,platform,scenario,label,load,iteration,frames,duration_ms,fps_mean,fps_median,fps_p1_low,fps_p5_low,frame_ms_mean,frame_ms_median,frame_ms_stddev,frame_ms_p95,frame_ms_p99,frame_ms_max,jank_60_share,jank_30_share,update_ms_median,update_ms_p99,render_ms_median,render_ms_p99,other_ms_median,gpu_ms_median,gpu_ms_p99,gpu_samples,heap_mb_start,heap_mb_peak,heap_mb_end,js_ready_ms,ttfr_submit_ms,init_ms,first_frame_render_ms,heap_mb_at_ttfr,tbt_total_ms,clicks,ok,miss,timeout,superseded,latency_render_ms_median,latency_render_ms_p95,latency_render_ms_mean,latency_frame_ms_median,queue_ms_median,dispatch_ms_median,apply_ms_median,commit_ms_median,frame_wait_ms_median,miss_share,capacity_fps60,capacity_fps30
amd-ryzen-5 · chrome|s1|009_threejs_C_i1,amd-ryzen-5 · chrome,s1,threejs,C,1,954.0,30006.675,31.792926073948745,31.964200095740352,22.883004284224253,26.526621157524616,31.45353773584886,31.28500000014901,2.2992853000483158,35.06574999995063,37.97814999991097,58.18500000005588,1.0,0.14046121593291405,0.029999999795109034,0.125,30.824999999953434,37.50640000023879,0.36499999975785613,26.19504,31.782948800000003,953.0,93.453,146.2297,141.4787,,,,,,,,,,,,,,,,,,,,,,,
amd-ryzen-5 · chrome|s1|010_r3f-ref_B_i1,amd-ryzen-5 · chrome,s1,r3f-ref,B,1,602.0,30003.005,20.06465685687158,20.03606491688398,17.87523088839104,18.82276173835095,49.83887873754134,49.90999999991618,1.567239334530373,51.93774999994784,53.3891500001261,59.22500000009313,1.0,1.0,0.060000000055879354,0.17490000027697541,49.25249999994412,52.82395000018645,0.4950000001117587,49.28392,53.198912,600.0,599.8335,640.8458,640.8458,,,,,,,,,,,,,,,,,,,,,,,
amd-ryzen-5 · chrome|s1|011_r3f-ref_A_i1,amd-ryzen-5 · chrome,s1,r3f-ref,A,1,2118.0,30034.825,70.51814019225971,160.64257027872114,12.965043772448064,13.803856403080047,14.180748347497728,6.225000000093132,20.514759828628183,68.97025000026915,75.2070999999996,82.03499999968335,0.13125590179414542,0.1307837582625118,0.03500000014901161,0.18000000016763806,5.420000000158325,74.13895000030286,0.6750000000465661,12.05472,13.61224,2101.0,76.4438,84.7601,68.0585,,,,,,,,,,,,,,,,,,,,,,,
amd-ryzen-5 · chrome|s1|012_r3f-ref_C_i1,amd-ryzen-5 · chrome,s1,r3f-ref,C,1,942.0,30009.245,31.3903265477021,31.633056544041978,24.980917354804877,26.504705995145603,31.85694798301498,31.612500000046566,2.2094165805535124,35.9182499998249,38.56914999999572,44.15500000026077,1.0,0.23991507430997877,0.030000000027939677,0.125,31.145000000018626,38.159249999867754,0.3799999998882413,26.41348,32.040672,941.0,104.4346,154.8296,142.7127,,,,,,,,,,,,,,,,,,,,,,,
amd-ryzen-5 · chrome|s1|013_threejs_A_i1,amd-ryzen-5 · chrome,s1,threejs,A,1,2103.0,30052.355,69.97787694175719,162.86644950794212,12.593174499415547,13.352145022098147,14.29023062291963,6.140000000130385,21.217506655679454,71.03900000001303,77.3157000002917,85.95999999996275,0.13076557299096528,0.1302900618164527,0.039999999571591616,0.18500000005587935,5.365000000223517,76.3240999997221,0.654999999795109,12.15016,13.591924,2086.0,75.5659,82.036,65.4868,,,,,,,,,,,,,,,,,,,,,,,
amd-ryzen-5 · chrome|s1|014_r3f-ref_D_i1,amd-ryzen-5 · chrome,s1,r3f-ref,D,1,542.0,30033.585,18.04646365060983,18.079913216474402,13.532532207427336,15.7274376800357,55.412518450184436,55.30999999982305,2.8720175520718767,58.77700000014155,63.86294999995272,83.375,1.0,1.0,0.07500000018626451,0.2038500001002108,54.68250000011176,63.095849999915835,0.5200000000186265,54.212320000000005,61.7894224,540.0,611.1228,633.0568,598.3848,,,,,,,,,,,,,,,,,,,,,,,
amd-ryzen-5 · chrome|s1|015_threejs_B_i1,amd-ryzen-5 · chrome,s1,threejs,B,1,589.0,30007.525,19.6284098738567,19.918334827178885,15.066594346977439,16.717588055578748,50.94656196943957,50.205000000074506,3.2796111700719415,57.01699999989942,59.98380000004545,78.47000000020489,1.0,1.0,0.060000000055879354,0.19999999972060323,49.635000000242144,59.31580000007525,0.4850000003352761,49.36368,57.690252799999996,587.0,587.5472,619.3692,606.0854,,,,,,,,,,,,,,,,,,,,,,,
amd-ryzen-5 · chrome|s1|016_threejs_D_i1,amd-ryzen-5 · chrome,s1,threejs,D,1,541.0,30010.575,18.02697882329829,18.014772113205307,13.652995467180506,16.233327020362644,55.4724121996298,55.50999999977648,2.651180546655277,57.84499999973923,60.800999999884525,89.73500000033528,1.0,1.0,0.07499999972060323,0.17999999998137411,54.89500000001863,60.336000000033536,0.5,54.20592,59.336576,539.0,587.183,612.2576,578.9282,,,,,,,,,,,,,,,,,,,,,,,
amd-ryzen-5 · chrome|s1|017_threejs_B_i2,amd-ryzen-5 · chrome,s1,threejs,B,2,600.0,30050.565,19.966346722599095,19.921310822248408,16.039778651061802,18.276189779944513,50.084274999999906,50.19750000000931,2.446132141460358,52.22500000009313,54.843099999851546,92.72500000009313,1.0,1.0,0.0625,0.18500000005587935,49.61499999999069,54.29554999992717,0.47999999998137355,49.36464,52.8465792,598.0,588.0188,617.2202,580.7145,,,,,,,,,,,,,,,,,,,,,,,
amd-ryzen-5 · chrome|s1|018_r3f-ref_A_i2,amd-ryzen-5 · chrome,s1,r3f-ref,A,2,2098.0,30011.335,69.90692016866302,158.102766793763,12.72058285711872,13.57119461745536,14.304735462345073,6.3250000001862645,20.676120903051455,69.76974999983794,76.29679999992719,84.83499999996275,0.1315538608198284,0.1306005719733079,0.03500000014901161,0.17499999981373549,5.544999999925494,74.6885500001582,0.6750000002793968,12.17952,13.631912,2081.0,78.1334,84.8376,68.4672,,,,,,,,,,,,,,,,,,,,,,,
amd-ryzen-5 · chrome|s1|019_threejs_D_i2,amd-ryzen-5 · chrome,s1,threejs,D,2,543.0,30009.57,18.09422794128655,18.065215427852024,15.26251526244584,16.70089318847438,55.2662430939232,55.35499999951571,1.9624546606641826,57.69450000021607,59.80059999940917,78.06500000040978,1.0,1.0,0.07500000018626451,0.19000000001862646,54.77000000048429,59.124500000011174,0.4950000001117587,54.14128,59.21728000000002,541.0,584.1196,613.7068,586.7965,,,,,,,,,,,,,,,,,,,,,,,
amd-ryzen-5 · chrome|s1|020_threejs_C_i2,amd-ryzen-5 · chrome,s1,threejs,C,2,953.0,30024.005,31.74126836176598,31.933578157014665,25.467974022548365,27.238323741999075,31.504727177334615,31.315000000409782,1.9149481993334223,34.62499999981373,37.54979999978096,41.41000000014901,1.0,0.15424973767051417,0.03000000026077032,0.11739999972283849,30.90999999921769,37.116600000150505,0.35499999951571226,26.24886,31.739322,952.0,106.9916,144.2742,128.5833,,,,,,,,,,,,,,,,,,,,,,,
amd-ryzen-5 · chrome|s1|021_r3f-ref_D_i2,amd-ryzen-5 · chrome,s1,r3f-ref,D,2,540.0,30012.03,17.992784893258207,17.998560115172683,14.552016181813594,16.411578064409298,55.577833333332094,55.56000000005588,2.2068342847335987,57.88575000069104,61.798949999883774,78.44000000040978,1.0,1.0,0.07500000018626451,0.19609999991022065,54.919999999925494,60.58790000001902,0.525000000372529,54.4364,59.020955199999996,538.0,610.029,629.5215,602.3463,,,,,,,,,,,,,,,,,,,,,,,
amd-ryzen-5 · chrome|s1|022_r3f-ref_B_i2,amd-ryzen-5 · chrome,s1,r3f-ref,B,2,600.0,30017.87,19.98809375881759,19.919326726889665,17.629429394094753,18.531502009089134,50.02978333333352,50.202499999664724,1.6411854768430976,52.23100000042468,55.65135000037029,57.830000000074506,1.0,1.0,0.06000000052154064,0.17499999981373549,49.66250000009313,55.105000000447035,0.4599999999627471,49.47488,54.5942176,598.0,599.4642,641.9861,622.4034,,,,,,,,,,,,,,,,,,,,,,,
amd-ryzen-5 · chrome|s1|023_threejs_A_i2,amd-ryzen-5 · chrome,s1,threejs,A,2,2125.0,30051.66,70.71156801321423,166.805671415631,12.702291553868253,13.38778541399828,14.141957647058893,5.994999999180436,21.13382405391248,70.84499999955297,77.08940000034868,83.59999999962747,0.1308235294117647,0.1303529411764706,0.03500000014901161,0.18000000040978192,5.259999999776483,76.13019999988377,0.6200000001117587,12.019200000000001,13.412734799999999,2108.0,72.5276,87.3569,65.6367,,,,,,,,,,,,,,,,,,,,,,,
amd-ryzen-5 · chrome|s1|024_r3f-ref_C_i2,amd-ryzen-5 · chrome,s1,r3f-ref,C,2,920.0,30026.735,30.63936188866321,31.01015582597929,19.781524056502047,23.511913128613763,32.637755434782974,32.24750000005588,3.1951099980843574,38.1175000002142,46.141400000480914,56.89000000059605,1.0,0.28695652173913044,0.03000000026077032,0.13310000057332164,31.84250000026077,45.62454999957231,0.375,26.85236,39.04415599999999,919.0,102.3479,154.6507,154.6507,,,,,,,,,,,,,,,,,,,,,,,
amd-ryzen-5 · chrome|s1|025_threejs_C_i3,amd-ryzen-5 · chrome,s1,threejs,C,3,954.0,30010.955,31.78839193887691,32.0975766331753,25.186097274315088,27.275628935344592,31.458024109014755,31.15499999979511,2.1514636054993277,34.9117500001099,37.99879999997094,43.82000000029802,1.0,0.21174004192872117,0.03000000026077032,0.12734999994747354,30.667499999981374,37.14659999978729,0.3700000001117587,26.12336,31.407673600000003,953.0,89.7227,143.7068,137.9285,,,,,,,,,,,,,,,,,,,,,,,
amd-ryzen-5 · chrome|s1|026_threejs_B_i3,amd-ryzen-5 · chrome,s1,threejs,B,3,603.0,30006.95,20.095344578505856,20.082337584124836,17.532581380411933,18.82624629749917,49.76276948590412,49.794999999925494,1.646128688600364,51.67949999971315,53.048400000724946,67.44000000040978,1.0,1.0,0.06000000052154064,0.17989999970421205,49.25,52.57740000007674,0.47499999962747097,48.95728,52.04608,601.0,586.178,617.7148,592.6,,,,,,,,,,,,,,,,,,,,,,,
amd-ryzen-5 · chrome|s1|027_threejs_A_i3,amd-ryzen-5 · chrome,s1,threejs,A,3,2107.0,30003.235,70.2257606554752,162.86644949559025,12.784882181226719,13.513417858685203,14.239788799240786,6.1400000005960464,21.011205869031333,70.37000000020487,76.28370000006632,80.94000000040978,0.1305173232083531,0.13004271476032273,0.03999999910593033,0.17499999981373549,5.389999999664724,75.19440000031143,0.6550000002607703,12.1576,13.568180799999997,2087.0,75.2109,82.0624,65.7809,,,,,,,,,,,,,,,,,,,,,,,
amd-ryzen-5 · chrome|s1|028_threejs_D_i3,amd-ryzen-5 · chrome,s1,threejs,D,3,539.0,30012.68,17.959075963892772,17.92917973990714,15.765659241063386,16.721332561575515,55.68215213358015,55.77500000037253,1.7895506297175983,57.94150000037625,60.295100000146775,71.46499999985099,1.0,1.0,0.07500000018626451,0.18810000009834768,55.16000000014901,59.58259999975562,0.5,54.48416,58.418368,537.0,584.1176,613.7988,595.7852,,,,,,,,,,,,,,,,,,,,,,,
amd-ryzen-5 · chrome|s1|029_r3f-ref_D_i3,amd-ryzen-5 · chrome,s1,r3f-ref,D,3,544.0,30041.29,18.10841012486479,18.06032147368578,13.18252524450218,16.044163044354843,55.2229595588236,55.37000000011176,3.0929640897356836,57.798499999847266,62.296050000144206,94.73500000033528,1.0,1.0,0.07500000018626451,0.18000000023283064,54.735000000335276,61.522399999871894,0.525000000372529,54.266400000000004,60.050689600000005,542.0,611.6171,630.2101,588.8535,,,,,,,,,,,,,,,,,,,,,,,
amd-ryzen-5 · chrome|s1|030_r3f-ref_C_i3,amd-ryzen-5 · chrome,s1,r3f-ref,C,3,939.0,30002.075,31.29783523306285,31.338138514425893,24.4114136919871,26.635167685779496,31.95109158679466,31.91000000014901,2.0045596627345623,34.97599999969825,38.51889999980107,43.549999999813735,1.0,0.2055378061767838,0.03000000026077032,0.1299999998882413,31.449999999254942,38.06890000019222,0.375,26.57654,32.5151292,938.0,104.4675,155.7729,141.9574,,,,,,,,,,,,,,,,,,,,,,,
amd-ryzen-5 · chrome|s1|031_r3f-ref_B_i3,amd-ryzen-5 · chrome,s1,r3f-ref,B,3,597.0,30018.925,19.887454330893053,19.870839542897144,14.876746158091848,17.42510958290273,50.28295644891091,50.325000000186265,2.5166709450699316,53.19399999957532,58.6403999997675,76.34000000078231,1.0,1.0,0.06500000040978193,0.2058000000566237,49.65499999932945,57.71899999994784,0.5,49.6872,55.736687999999965,595.0,599.3872,636.236,636.236,,,,,,,,,,,,,,,,,,,,,,,
amd-ryzen-5 · chrome|s1|032_r3f-ref_A_i3,amd-ryzen-5 · chrome,s1,r3f-ref,A,3,2128.0,30003.325,70.92547242680558,160.83634902017755,12.822469851909128,13.732660087509673,14.099306860902344,6.217499999795109,20.4467663813883,68.4177499999292,75.65854999942705,84.2749999994412,0.13063909774436092,0.13016917293233082,0.03500000014901161,0.17999999970197678,5.455000000074506,74.57825000011363,0.6749999998137355,12.00896,13.3876912,2107.0,78.1993,84.5252,68.4032,,,,,,,,,,,,,,,,,,,,,,,
amd-ryzen-5 · chrome|s1|033_r3f-ref_C_i4,amd-ryzen-5 · chrome,s1,r3f-ref,C,4,950.0,30032.66,31.632229712586074,32.08213025352551,25.563098247418335,27.218842388378658,31.61332631578963,31.169999999925494,1.8725444444317325,34.762499999813734,37.82569999971427,41.20499999914318,1.0,0.15473684210526314,0.029999999329447746,0.125,30.66499999957159,37.31529999994673,0.3799999998882413,26.00076,31.7174928,949.0,104.0546,155.8162,145.2805,,,,,,,,,,,,,,,,,,,,,,,
