run_id,platform,label,N,frames,duration_ms,fps_mean,fps_median,fps_p1_low,fps_p5_low,frame_ms_mean,frame_ms_median,frame_ms_stddev,frame_ms_p95,frame_ms_p99,frame_ms_max,jank_60_share,jank_30_share,update_ms_median,update_ms_p99,render_ms_median,render_ms_p99,other_ms_median,gpu_ms_median,gpu_ms_p99,gpu_samples,heap_mb_start,heap_mb_peak,heap_mb_end
amd-ryzen-5 · chrome|s5|005_r3f-state_i1,amd-ryzen-5 · chrome,r3f-state,3200,64.0,3003.54,21.30818966952964,22.026431717880936,17.77777777777778,18.354236769737994,46.93031249998603,45.40000000037253,3.1310835230106067,53.12975000031292,54.80415000004693,56.25,1.0,1.0,1.877500000409782,2.4955500004440547,13.837500000372529,17.658099999558168,29.447499999776483,10.34024,12.2288048,63.0,178.2101,199.1461,199.1461
amd-ryzen-5 · chrome|s5|005_r3f-state_i1,amd-ryzen-5 · chrome,r3f-state,4525,61.0,4206.185,14.502452935377887,15.05570611263357,13.378821325654489,13.4327355765464,68.95385245902494,66.4199999999255,4.185713041047954,74.12000000104308,74.57400000095367,74.74500000104308,1.0,1.0,2.649999998509884,3.9389999996870757,20.144999999552965,22.175000001117585,43.71000000089407,14.908760000000001,16.288723999999995,60.0,265.2038,273.9486,259.501
amd-ryzen-5 · chrome|s5|005_r3f-state_i1,amd-ryzen-5 · chrome,r3f-state,6400,61.0,6322.845,9.64755580755364,9.460290430909561,8.110300081053992,8.452370890041752,103.65319672129193,105.7050000000745,6.380974588102543,111.74499999918044,119.66099999994039,123.30000000074506,1.0,1.0,3.444999998435378,14.438999999687075,32.32000000029802,38.76400000043213,69.86499999836087,22.40532,34.68730039999998,60.0,319.8193,422.5619,422.5619
amd-ryzen-5 · chrome|s5|006_r3f-ref_i1,amd-ryzen-5 · chrome,r3f-ref,100,2729.0,3000.725,909.4468836693281,921.658985415643,560.22408963239,665.1993152444835,1.0995694393556212,1.0850000008940697,0.159307656075436,1.3550000004470348,1.585000000372529,2.5200000014156103,0.0,0.0,0.11999999918043613,0.2050000000745058,0.599999999627471,0.8350000003725291,0.3549999985843897,0.06032,1.4652096,2724.0,11.5002,16.9058,15.6328
amd-ryzen-5 · chrome|s5|006_r3f-ref_i1,amd-ryzen-5 · chrome,r3f-ref,141,2290.0,3000.55,763.193414540478,772.2007722451996,469.2832764050165,559.2896040816285,1.3102838427950851,1.2949999999254942,0.19265432898805404,1.6300000008195639,1.849999999627471,2.9950000010430813,0.0,0.0,0.125,0.21055000077933136,0.7949999999254942,1.1199999993853271,0.35999999940395355,0.08432,1.4998207999999997,2285.0,18.5422,22.3963,19.4432
amd-ryzen-5 · chrome|s5|006_r3f-ref_i1,amd-ryzen-5 · chrome,r3f-ref,200,1895.0,3000.62,631.5361491960053,636.9426750383288,419.7761194131964,475.9975693685467,1.58344063324495,1.5700000002980232,0.22304994099010775,1.949999999254942,2.1853000004589553,2.8450000006705523,0.0,0.0,0.15999999828636646,0.2599999997764826,1.0599999986588955,1.4752999995648859,0.3399999998509884,0.12656,1.001468799999995,1889.0,15.1647,25.2359,25.2359
amd-ryzen-5 · chrome|s5|006_r3f-ref_i1,amd-ryzen-5 · chrome,r3f-ref,283,1325.0,3000.72,441.5606921007379,448.4304931836484,279.4797377042426,339.4101463029622,2.264694339621742,2.230000000447035,0.28905879297818127,2.6879999995231625,2.9625999999046324,5.904999999329448,0.0,0.0,0.3049999997019768,0.43000000111758707,1.5800000000745058,2.189000000208616,0.3399999998509884,0.10224,1.2955359999999978,1321.0,27.257,28.6,20.3027
amd-ryzen-5 · chrome|s5|006_r3f-ref_i1,amd-ryzen-5 · chrome,r3f-ref,400,1072.0,3001.215,357.188671921223,364.2987250632299,206.14306328687027,267.5213890893769,2.799640858208816,2.744999999180436,0.38775441841262176,3.364500000327825,3.6549999998696148,7.4849999994039536,0.0,0.0,0.36999999918043613,0.5214500011131166,2.049999998882413,2.736450000964105,0.3200000002980232,0.18016,1.9163839999999968,1071.0,28.3811,29.1601,24.013
amd-ryzen-5 · chrome|s5|006_r3f-ref_i1,amd-ryzen-5 · chrome,r3f-ref,566,859.0,3000.16,286.31806303680156,291.5451895297047,196.9230769321058,222.2339806358234,3.49261932479428,3.4299999997019768,0.31672982411227235,4.035500000044703,4.740499999821185,5.825000001117587,0.0,0.0,0.41499999910593033,0.61420000039041,2.7400000002235174,3.874200000166893,0.26500000059604645,0.19912,0.28567199999999987,858.0,30.0849,43.0134,43.0134
amd-ryzen-5 · chrome|s5|006_r3f-ref_i1,amd-ryzen-5 · chrome,r3f-ref,800,659.0,3001.99,219.52105103612968,230.41474645280036,159.8508059217777,166.614599602222,4.555371775417638,4.3400000017136335,0.722692464412839,5.777000000327826,6.184699999988077,6.324999999254942,0.0,0.0,0.5500000007450581,0.8320999996364115,3.425000000745058,4.9783999997004855,0.3399999998509884,0.54592,3.2692120000000013,654.0,24.3901,35.6251,35.6251
